image_path,height,width,num_segments
/Users/parinitasedai/Downloads/contest_dataset/train/images/41004.png,321,481,1884
/Users/parinitasedai/Downloads/contest_dataset/train/images/42044.png,321,481,7976
/Users/parinitasedai/Downloads/contest_dataset/train/images/42078.png,321,481,2409
/Users/parinitasedai/Downloads/contest_dataset/train/images/43083.png,321,481,2435
/Users/parinitasedai/Downloads/contest_dataset/train/images/45077.png,321,481,7688
/Users/parinitasedai/Downloads/contest_dataset/train/images/46076.png,481,321,2883
/Users/parinitasedai/Downloads/contest_dataset/train/images/54005.png,481,321,8614
/Users/parinitasedai/Downloads/contest_dataset/train/images/55075.png,481,321,2239
/Users/parinitasedai/Downloads/contest_dataset/train/images/56028.png,321,481,8579
/Users/parinitasedai/Downloads/contest_dataset/train/images/59078.png,321,481,6517
/Users/parinitasedai/Downloads/contest_dataset/train/images/61060.png,321,481,10213
/Users/parinitasedai/Downloads/contest_dataset/train/images/65074.png,481,321,9498
/Users/parinitasedai/Downloads/contest_dataset/train/images/65132.png,321,481,5785
/Users/parinitasedai/Downloads/contest_dataset/train/images/66075.png,481,321,2439
/Users/parinitasedai/Downloads/contest_dataset/train/images/67079.png,321,481,5211
/Users/parinitasedai/Downloads/contest_dataset/train/images/68077.png,321,481,4002
/Users/parinitasedai/Downloads/contest_dataset/train/images/76002.png,321,481,8268
/Users/parinitasedai/Downloads/contest_dataset/train/images/92059.png,481,321,4328
/Users/parinitasedai/Downloads/contest_dataset/train/images/94079.png,321,481,9205
/Users/parinitasedai/Downloads/contest_dataset/test/images/101085.png,481,321,15643
/Users/parinitasedai/Downloads/contest_dataset/test/images/103070.png,321,481,2591
/Users/parinitasedai/Downloads/contest_dataset/test/images/108082.png,321,481,6469
/Users/parinitasedai/Downloads/contest_dataset/test/images/109053.png,321,481,3231
/Users/parinitasedai/Downloads/contest_dataset/test/images/119082.png,321,481,6348
/Users/parinitasedai/Downloads/contest_dataset/test/images/12084.png,321,481,5988
/Users/parinitasedai/Downloads/contest_dataset/test/images/126007.png,321,481,3251
/Users/parinitasedai/Downloads/contest_dataset/test/images/130026.png,321,481,12026
